dt_ms,spatial_tolerance,temporal_tolerance,cancellation_rate,total_roi_real,total_roi_cancelled,mean_displacement_px,frac_matches_ge_3px,frac_matches_ge_5px,combined_score
5,8.0,1.0,58.87879528241121,45023,26509,1.6646496278677179,0.11975435005117707,0.022376733843927576,98.01256465616537
5,7.0,1.0,58.87879528241121,45023,26509,1.623567704958907,0.11355962324506842,0.015496712280078194,95.5937105274097
4,8.0,1.0,63.27432645536726,45023,28488,1.4972751886849396,0.08365512541778888,0.024304766849466204,94.73907908237247
5,6.0,1.0,58.87879528241121,45023,26509,1.589342746696854,0.10734099287733992,0.008590142811124236,93.5785862163492
4,7.0,1.0,63.27432645536726,45023,28488,1.4525635002354187,0.07679482149862692,0.017000130770236693,91.90997711104681
5,5.0,1.0,58.856584412411436,45023,26499,1.5558031537631247,0.09960648398859165,0.0,91.56925964855527
4,6.0,1.0,63.27432645536726,45023,28488,1.4066936214382026,0.06838875692794932,0.00804961731327527,89.00759142556365
3,8.0,1.0,68.79594873731205,45023,30974,1.2821967110254713,0.04609342703596527,0.020787810783676842,88.20993920285842
3,7.0,1.0,68.79594873731205,45023,30974,1.2646898342952857,0.043296709805431335,0.017916901116474666,87.00553700877813
4,5.0,1.0,63.27432645536726,45023,28488,1.3735431205594961,0.06082878808035121,0.0,86.91001581080542
