dt_ms,cancellation_rate,pixel_displacement
0.0,100.0,0.0
0.1,99.96400125995591,0.07164000000000001
0.2,99.95725149619763,0.14328000000000002
0.30000000000000004,99.95725149619763,0.21492000000000006
0.4,99.95725149619763,0.28656000000000004
0.5,99.95500157494487,0.35819999999999996
0.6000000000000001,99.88975385861495,0.4298400000000001
0.7000000000000001,99.35427260045898,0.50148
0.8,98.74679386221482,0.5731200000000001
0.9,98.01781937632182,0.64476
1.0,97.21234756783512,0.7163999999999999
1.1,96.49687260945868,0.7880400000000001
1.2000000000000002,95.83539576114836,0.8596800000000002
1.3,95.07267245646402,0.9313200000000001
1.4000000000000001,94.26945056923007,1.00296
1.5,93.6012239571615,1.0746000000000002
1.6,92.91499797507086,1.1462400000000001
1.7000000000000002,92.26477073302435,1.21788
1.8,91.6572919947802,1.28952
1.9000000000000001,91.08806191783287,1.3611600000000001
2.0,90.48283310084148,1.4327999999999999
2.25,88.57040003599874,1.6118999999999999
2.5,86.196733114341,1.791
2.75,83.85906493272735,1.9701000000000002
3.0,81.53489627863026,2.1492000000000004
