dt_ms,cr_inside,cr_outside,gap
1.000,98.075,75.521,22.554
2.000,90.503,48.669,41.834
3.000,74.681,43.287,31.394
4.000,61.149,39.377,21.772
5.000,51.223,36.027,15.195
6.000,43.741,32.755,10.986
7.000,37.948,30.051,7.897
8.000,33.080,27.416,5.665
9.000,29.265,25.060,4.205
10.000,26.053,22.946,3.107
11.000,23.712,21.499,2.213
12.000,21.768,19.833,1.935
13.000,20.407,18.403,2.003
14.000,19.532,17.740,1.792
15.000,18.786,16.858,1.929
16.000,18.330,16.083,2.247
17.000,17.886,15.118,2.768
18.000,17.624,14.446,3.178
19.000,17.612,13.818,3.795
20.000,17.663,13.241,4.422
